iter	Passed	Remaining
390	1045	1629
391	1048	1626
392	1051	1624
393	1054	1621
394	1057	1619
395	1060	1617
396	1063	1615
397	1066	1613
398	1069	1610
399	1072	1608
400	1075	1605
401	1077	1603
402	1080	1601
403	1084	1599
404	1087	1598
405	1090	1595
406	1093	1593
407	1096	1591
408	1100	1589
409	1103	1587
410	1108	1588
411	1111	1586
412	1114	1584
413	1117	1582
414	1121	1580
415	1124	1579
416	1128	1577
417	1132	1576
418	1136	1575
419	1139	1573
420	1143	1573
421	1147	1571
422	1150	1568
423	1153	1567
424	1157	1565
425	1160	1563
426	1163	1561
427	1167	1559
428	1170	1557
429	1173	1555
430	1176	1553
431	1180	1551
432	1183	1550
433	1186	1547
434	1189	1544
435	1192	1541
436	1195	1539
437	1197	1536
438	1200	1533
439	1203	1531
440	1205	1528
441	1208	1525
442	1211	1522
443	1214	1520
444	1216	1517
