id_commune;code_region;population_municipale;population_comptee_a_part;population_total
02041;32;807;15;822
02042;32;384;2;386
02043;32;65;1;66
02044;32;25;0;25
02046;32;557;9;566
02047;32;108;5;113
02048;32;133;4;137
02049;32;739;13;752
02050;32;323;2;325
02051;32;391;6;397
02052;32;135;6;141
02053;32;571;6;577
02054;32;461;4;465
02055;32;88;2;90
02056;32;179;1;180
02057;32;1406;18;1424
02058;32;856;10;866
02059;32;2714;28;2742
02060;32;257;7;264
02061;32;246;7;253
02062;32;137;4;141
02063;32;378;8;386
02064;32;3832;53;3885
02065;32;600;13;613
02066;32;196;2;198
02067;32;210;5;215
02068;32;88;4;92
02069;32;105;2;107
02070;32;445;12;457
02071;32;658;15;673
02072;32;186;2;188
02073;32;670;4;674
02074;32;593;10;603
02075;32;195;2;197
02076;32;152;3;155
02077;32;379;9;388
02078;32;163;3;166
02079;32;149;0;149
02080;32;333;9;342
02081;32;434;8;442
02082;32;110;0;110
02083;32;750;15;765
02084;32;257;5;262
02085;32;1015;25;1040
02086;32;1006;11;1017
02087;32;34;1;35
02088;32;92;3;95
02089;32;1148;21;1169
02090;32;207;10;217
02091;32;95;1;96
02093;32;1298;59;1357
02094;32;464;9;473
02095;32;5686;78;5764
02096;32;197;3;200
02097;32;256;2;258
02098;32;379;14;393
02099;32;221;5;226
02100;32;138;0;138
02101;32;192;5;197
02102;32;191;6;197
02103;32;1339;16;1355
02104;32;99;4;103
02105;32;196;2;198
02106;32;810;12;822
02107;32;107;4;111
02108;32;159;4;163
02109;32;475;10;485
02110;32;2235;25;2260
02111;32;721;11;732
02112;32;553;13;566
02114;32;1563;37;1600
02115;32;190;6;196
02116;32;147;1;148
02117;32;68;0;68
02118;32;129;2;131
02119;32;327;6;333
02120;32;196;6;202
02121;32;240;4;244
02122;32;54;1;55
02123;32;301;5;306
02124;32;651;10;661
02125;32;193;11;204
02126;32;455;5;460
02127;32;192;5;197
02128;32;1475;47;1522
02129;32;18;0;18
02130;32;194;7;201
02131;32;1861;42;1903
02132;32;194;3;197
02133;32;404;9;413
02134;32;862;18;880
02135;32;1157;17;1174
02136;32;128;3;131
02137;32;160;0;160
02138;32;200;3;203
02139;32;442;5;447
02140;32;456;7;463
02141;32;1778;79;1857
02142;32;253;5;258
02143;32;185;6;191
02144;32;144;3;147
02145;32;545;10;555
02146;32;94;1;95
02148;32;255;2;257
02149;32;62;2;64
02150;32;63;0;63
02151;32;116;3;119
02152;32;89;0;89
02153;32;764;20;784
02154;32;365;7;372
02155;32;166;5;171
02156;32;257;1;258
02157;32;836;23;859
02158;32;273;2;275
02159;32;295;2;297
02160;32;544;12;556
02162;32;291;8;299
02163;32;2585;42;2627
02164;32;325;7;332
02165;32;1654;26;1680
02166;32;356;9;365
02167;32;890;14;904
02168;32;15254;362;15616
02169;32;84;0;84
02170;32;125;0;125
02171;32;88;1;89
02172;32;252;9;261
02173;32;11653;419;12072
02174;32;829;16;845
02175;32;161;4;165
02176;32;206;3;209
02177;32;139;2;141
02178;32;106;2;108
02179;32;385;8;393
02180;32;721;14;735
02181;32;79;1;80
02182;32;117;3;120
02183;32;185;1;186
02184;32;351;5;356
02185;32;390;15;405
02186;32;1351;45;1396
02187;32;1134;15;1149
02188;32;147;4;151
02189;32;350;8;358
02190;32;518;12;530
02191;32;523;5;528
02192;32;371;7;378
02193;32;65;1;66
02194;32;186;8;194
02195;32;910;25;935
02196;32;311;7;318
02197;32;535;102;637
02198;32;228;2;230
02199;32;601;8;609
02200;32;106;1;107
02201;32;441;6;447
02203;32;1282;20;1302
02204;32;65;2;67
02205;32;229;3;232
02206;32;76;3;79
02207;32;216;3;219
02208;32;267;6;273
02209;32;708;11;719
02210;32;364;6;370
02211;32;294;3;297
02212;32;708;11;719
02213;32;343;2;345
02214;32;61;1;62
02215;32;841;6;847
02216;32;294;4;298
02217;32;992;9;1001
02218;32;628;12;640
02219;32;200;72;272
02220;32;436;15;451
02221;32;152;4;156
02222;32;32;0;32
02223;32;301;12;313
02224;32;346;4;350
02225;32;84;2;86
02226;32;1863;30;1893
02227;32;120;1;121
02228;32;339;6;345
02229;32;71;0;71
02230;32;186;6;192
