voie;id_bien;type_de_voie;id_no_voie
CROIX BOSSET;481;RUE;9
DES CHENES;482;RUE;101
DE LA REPUBLIQUE;483;AV;23
PASTEUR;484;AV;98
DE ROMAINVILLE;485;RUE;71
DE PARIS;486;RUE;137
DES ORMES;487;RUE;13
PAUL LANGEVIN;488;ALL;4
JOHANNES KEPLER;489;ALL;8
FELIX EBOUE;490;RUE;20
MARCEL BOURDARIAS;491;RUE;49
L ANGEVINE 2;492;RES;9002
DE PARIS;493;RUE;197
JULES VALLES;494;RUE;25
MARIN LA MESLEE;495;RUE;1
JEAN JAURES;496;AV;18
EMILE BLIN;497;RUE;8
GEORGES POMPIDOU;498;RUE;5
RES VERDUN LECLERC;499;;9001
LOUIS ARAGON;500;PL;13
DU MARECHAL VAILLANT;501;RUE;7
PAUL BERT;502;RUE;49
DE BRETAGNE;503;AV;39
RENARD;504;RUE;4
JEAN JAURES;505;RUE;26
DES ARTS;506;AV;13
ELSA TRIOLET;507;RUE;7
DE CROSNE;508;RUE;25
DE MONTREUIL;509;RUE;33
DU GAL DE GAULLE;510;AV;16
PARMENTIER;511;RUE;
ALBERT MEUNIER;512;RUE;27
CHARLES PEGUY;513;ALL;3
FOCH;514;AV;1
DERRIERE LES TOURNELLES;515;;
BUFFON;516;RUE;39
DE BELLEVILLE;517;RTE;151
DE GENEVE;518;RUE;8
DE LA FRATERNITE;519;RUE;22
SAINT ANTOINE;520;RUE;10
CAMILLE BLANC;521;AV;4
DE STALINGRAD;522;RUE;4
DU MARECHAL JUIN;523;AV;59
DE LA REPUBLIQUE;524;BD;12
VAL DU CAREI;525;PROM;124
DE VERDUN;526;AV;1
LE VILLAGE;527;;5277
DE VALS;528;RTE;85
DE LA SOUBEYRANNE;529;CITE;9004
DE LA SOUBEYRANNE;530;CITE;9004
HAMEAU LES FALAISES;531;RES;5638
JEAN JAURES;532;RUE;3
HORIZON;533;RES;159
MARECHAL FOCH;534;AV;27
LE MAIL;535;MAIL;9012
ADOLPHE THIERS;536;RUE;57
CURIOL;537;RUE;44
CHEVALIER PAUL;538;RUE;46
BERANGER;539;RUE;13
PAUTRIER;540;RUE;77
ROBERT;541;RUE;16
SAINT SEBASTIEN;542;RUE;89
DES MOUSSES;543;RUE;30
NEGRESKO;544;RUE;14
LE CORBUSIER;545;CITE;9001
NICOLE ZEMMOUR;546;RUE;34
ROMAIN ROLLAND;547;BD;296
BONIFAY;548;BD;25
SAINTE BAUME;549;RUE;46
DES BONNETS;550;TSSE;49
RES LES MARINES;551;VC;6412
EMILE ZOLA;552;AV;48
DE GOUEDIC;553;RUE;87
DE L ABREUVOIR;554;RUE;20
DU PALOMA;555;PAS;15
DUCHESNE;556;AV;28
DE LA LIBERATION;557;RUE;1
DES ECUYERS;558;RUE;6
CHAUVEAU LAGARDE;559;RUE;4
DU GENERAL LECLERC;560;AV;106
DE L ASPIC;561;RUE;14
DE LA DOUCE DAME;562;CHE;175
SALVADOR ALLENDE;563;AV;72
DES LOIS;564;RUE;2
MONTESQUIEU;565;RUE;10
JULIE;566;RUE;16
LE HAMEAU PIERRE FABRE;567;RES;46
