id_bien;id_commune;type_local;surface_carrez;surface_reelle;nombre_pieces;surface_terrain
14007;83009;Appartement;28,99;29;2;
14008;83016;Appartement;35,87;35;2;
14009;83016;Appartement;56,8;36;1;
14010;83069;Appartement;73,59;76;3;
14011;83069;Appartement;31,14;30;1;
14012;83070;Appartement;52,34;56;3;
14013;83090;Appartement;30,3;30;1;
14014;83126;Appartement;23,25;25;2;
14015;83129;Appartement;36,29;32;1;
14016;83137;Appartement;77,22;76;4;
14017;83137;Appartement;54,33;54;3;
14018;84007;Appartement;32,49;37;2;
14019;84141;Maison;125,92;95;4;
14020;85226;Appartement;25,62;25;1;
14021;85288;Appartement;26,91;28;2;
14022;86157;Appartement;63,3;63;3;
14023;91105;Maison;76,6;77;4;
14024;91174;Appartement;34,11;34;1;
14025;91191;Appartement;88,38;83;4;
14026;91200;Appartement;74,57;16;1;
14027;91477;Appartement;56,61;55;2;
14028;91645;Appartement;99,93;101;5;
14029;91661;Appartement;77,14;75;4;
14030;91689;Appartement;42,67;43;2;
14031;91692;Appartement;69,7;70;4;
14032;92020;Appartement;26,8;27;1;
14033;92023;Appartement;38,71;35;3;
14034;92035;Appartement;80,92;79;3;
14035;92046;Appartement;23,11;23;1;
14036;92049;Appartement;69,19;69;3;
14037;92049;Appartement;30,5;31;1;
14038;92049;Appartement;117,22;63;4;
14039;92049;Appartement;67,66;67;3;
14040;92050;Appartement;45,74;47;2;
14041;92051;Appartement;127,65;129;6;
14042;92051;Appartement;95,16;75;4;
14043;92051;Appartement;25,52;28;1;
14044;92060;Appartement;97,15;100;5;
14045;92062;Appartement;64,9;59;2;
14046;92063;Appartement;31,95;32;1;
14047;92063;Appartement;49;49;2;
14048;93001;Appartement;17;18;1;
14049;93001;Appartement;45,03;44;3;
14050;93046;Appartement;52,72;53;3;
14051;93048;Maison;63,57;46;5;
14052;93051;Appartement;114,17;114;5;
14053;93064;Appartement;26,5;26;1;
14054;93066;Appartement;62,78;56;3;
14055;93066;Appartement;50,29;49;3;
14056;93066;Appartement;14,91;17;1;
14057;93070;Appartement;29,86;29;2;
14058;94017;Appartement;90,54;90;4;
14059;94017;Maison;137,68;130;6;400
14060;94028;Appartement;61,8;67;3;
14061;94028;Appartement;64,39;64;3;
14062;94034;Appartement;44,51;45;2;
14063;94034;Maison;89,1;75;4;1199
14064;94052;Appartement;32,44;32;1;
14065;94058;Appartement;53;56;2;
14066;94059;Appartement;61,5;62;3;
14067;94073;Maison;117,76;114;6;
14068;94073;Appartement;64,91;65;4;
14069;94076;Appartement;78,21;78;4;
14070;94080;Appartement;94,46;43;2;
14071;94081;Appartement;51,28;50;2;
14072;94081;Appartement;48,08;48;2;
14073;95018;Appartement;67,54;68;3;
14074;95134;Maison;124,63;74;3;
14075;95205;Appartement;64,6;67;3;
14076;95218;Appartement;66,55;66;3;
14077;95323;Maison;80,04;84;5;
14078;95369;Appartement;67,92;68;3;
14079;95388;Maison;76,06;77;4;
14080;95491;Appartement;68,1;65;3;
14081;95555;Appartement;71,03;70;3;
14082;973304;Appartement;25,31;31;1;
14083;01109;Appartement;295,21;190;6;
14084;01173;Appartement;55,4;55;3;
14085;01240;Appartement;42,89;32;2;
14086;02722;Appartement;62,15;83;3;
14087;02722;Appartement;49,46;57;2;
14088;02722;Appartement;41,42;44;1;
14089;06011;Appartement;57,75;39;2;
14090;06011;Appartement;41,77;43;2;
14091;06085;Appartement;79,58;73;4;
14092;06085;Appartement;15,38;16;1;
14093;06085;Appartement;15,57;15;1;
14094;06088;Appartement;91;90;3;
14095;06088;Appartement;21,55;22;1;
14096;06104;Appartement;30,26;40;1;
14097;06104;Appartement;27,83;27;1;
14098;06128;Appartement;122,85;121;4;
14099;06136;Appartement;36,34;30;2;
14100;06155;Appartement;52,25;52;2;
14101;07324;Appartement;52,93;53;3;
14102;07324;Appartement;70,24;70;3;
14103;11170;Appartement;27,22;20;1;
14104;11170;Maison;29,67;31;2;
14105;11202;Appartement;37,36;36;3;
14106;11266;Appartement;31,53;35;2;
14107;13007;Appartement;49,85;53;3;
14108;13202;Appartement;66,72;67;3;
14109;13206;Appartement;68;68;4;
14110;13208;Appartement;74,85;75;4;
14111;13208;Appartement;27,24;24;1;
14112;13214;Appartement;20,19;18;1;
14113;13215;Appartement;54,11;55;3;
14114;14220;Appartement;24,07;24;1;
14115;14225;Appartement;77,9;78;3;
14116;14715;Appartement;46,94;43;1;
14117;17333;Maison;27,5;27;2;
14118;18033;Appartement;4,95;45;2;
14119;22055;Appartement;34,17;31;2;
14120;22325;Appartement;59,8;60;3;
14121;24138;Appartement;59,51;58;3;
14122;24356;Maison;89,62;90;2;
14123;24520;Appartement;36,32;36;2;
14124;26165;Appartement;62,01;64;4;
14125;28085;Appartement;50,74;50;2;
14126;2A004;Appartement;71,02;66;3;
14127;2A004;Appartement;67,4;60;3;
14128;2A008;Maison;65,31;65;3;
14129;33039;Appartement;77,8;76;4;
14130;33063;Appartement;28,43;28;1;
14131;33063;Appartement;12,11;33;1;
14132;33063;Appartement;21,72;22;1;
14133;33165;Appartement;48,6;50;1;
14134;33203;Appartement;55,69;55;3;
14135;33243;Appartement;59,84;55;2;
14136;33522;Appartement;85,48;86;4;
14137;34003;Appartement;24,92;18;1;
14138;34023;Appartement;46;46;2;
14139;34067;Appartement;239,05;40;2;
14140;34145;Appartement;84,55;87;4;
14141;34150;Appartement;35,29;35;1;
14142;34161;Maison;81,95;82;4;181
14143;34301;Appartement;43,13;43;2;
14144;34301;Appartement;54,8;49;2;
14145;35093;Appartement;62,44;62;3;
14146;35236;Appartement;33,69;34;2;
14147;35238;Appartement;13,63;24;1;
14148;35288;Appartement;37,4;27;1;
14149;36044;Appartement;61,27;60;3;
14150;38158;Appartement;60,19;59;4;
14151;38185;Appartement;68,83;69;3;
14152;40019;Appartement;20,6;21;1;
14153;40088;Appartement;29,74;22;1;
14154;41018;Appartement;73,54;74;4;
14155;41269;Maison;67,79;69;3;
14156;42059;Appartement;190;176;5;
14157;42187;Appartement;62,5;62;3;
14158;42187;Appartement;40,54;41;2;
14159;42218;Appartement;68,87;71;4;
14160;42275;Appartement;19,02;19;1;
14161;44020;Appartement;42,72;42;2;
14162;44055;Appartement;22,59;43;2;
14163;44109;Appartement;26,09;27;1;
14164;44109;Appartement;40,38;26;1;
14165;44162;Appartement;31,53;31;1;
14166;45232;Maison;120,2;109;4;610
14167;45284;Appartement;29,35;29;1;
14168;49035;Maison;91,77;92;6;
14169;51230;Appartement;99,01;98;5;
14170;51454;Appartement;24,14;24;1;
14171;51454;Appartement;181;159;4;
14172;54493;Maison;48,01;48;3;
14173;54550;Appartement;108,9;114;4;
14174;56165;Appartement;42,64;42;2;
14175;58238;Maison;70,06;68;3;
14176;59350;Appartement;60,08;53;3;
14177;59350;Appartement;57,55;71;3;
14178;59350;Appartement;55,15;55;2;
14179;59350;Appartement;35,02;30;1;
14180;60175;Appartement;56,6;56;1;
14181;64260;Appartement;40,23;40;2;
14182;64304;Appartement;77,57;81;4;
14183;65440;Appartement;74,7;74;4;
14184;65440;Appartement;47,72;45;2;
14185;65440;Maison;92,7;92;5;
14186;65440;Appartement;60,81;57;3;
14187;65440;Appartement;76,35;77;4;
14188;66037;Appartement;20,4;22;1;
14189;69031;Appartement;90,65;111;5;
14190;69266;Appartement;109,78;109;5;
14191;69382;Appartement;91,11;96;3;
14192;69382;Appartement;81,78;86;3;
14193;71014;Appartement;71,72;73;4;
14194;74081;Appartement;39,09;48;2;
14195;75103;Appartement;42,15;42;3;
14196;75105;Appartement;79,6;81;3;
14197;75105;Appartement;56,97;55;3;
14198;75105;Appartement;90,27;88;4;
14199;75106;Appartement;35,8;35;2;
14200;75107;Appartement;113,67;98;3;
14201;75110;Appartement;64,69;65;3;
14202;75111;Appartement;3,85;7;1;
14203;75112;Appartement;38,83;41;3;
14204;75112;Appartement;104,04;102;5;
14205;75112;Appartement;25,07;22;1;
14206;75112;Appartement;73,86;16;1;
14207;75114;Appartement;35,82;32;3;
14208;75114;Appartement;13,18;12;1;
14209;75115;Appartement;156,45;145;4;
14210;75116;Appartement;39,41;37;3;
14211;75117;Appartement;46,2;46;2;
14212;75117;Appartement;6,54;8;1;
14213;75117;Appartement;35,39;35;2;
14214;75118;Appartement;12,38;14;1;
14215;75118;Appartement;9,52;10;1;
14216;75118;Appartement;43,41;75;5;
14217;75118;Appartement;46,97;45;3;
14218;75119;Appartement;37,28;36;1;
14219;75119;Appartement;21,82;22;2;
14220;75119;Appartement;60,03;58;3;
14221;75120;Appartement;47,61;47;2;
14222;75120;Appartement;93,58;53;3;
14223;75120;Appartement;22,35;20;1;
14224;75120;Appartement;43,36;45;3;
14225;76322;Appartement;89,87;87;4;
14226;76498;Appartement;43;42;2;
14227;77044;Appartement;92,05;76;3;
14228;77155;Maison;102,23;92;4;
14229;77243;Maison;123,4;123;6;
14230;77284;Appartement;25,83;25;1;
14231;77288;Maison;84,76;95;5;
14232;77305;Appartement;98,45;106;4;
14233;77373;Maison;131,3;119;6;
14234;77468;Appartement;59,3;60;3;
14235;77514;Maison;85,25;85;5;
14236;78123;Appartement;55,69;55;3;
14237;78297;Appartement;126,8;100;5;
14238;78297;Maison;75,19;74;4;
