code_region;code_departement;id_commune;nom_commune
84;01;01265;MONTREAL LA CLUSE
84;01;01266;MONTREVEL EN BRESSE
84;01;01267;NURIEUX VOLOGNAT
84;01;01268;MURS ET GELIGNIEUX
84;01;01269;NANTUA
84;01;01270;NAPT
84;01;01271;NATTAGES
84;01;01272;NEUVILLE LES DAMES
84;01;01273;NEUVILLE SUR AIN
84;01;01274;LES NEYROLLES
84;01;01275;NEYRON
84;01;01276;NIEVROZ
84;01;01277;NIVOLLET MONTGRIFFON
84;01;01278;OCHIAZ
84;01;01279;ONCIEU
84;01;01280;ORDONNAZ
84;01;01281;ORNEX
84;01;01282;OUTRIAZ
84;01;01283;OYONNAX
84;01;01284;OZAN
84;01;01285;PARCIEUX
84;01;01286;PARVES
84;01;01287;PASSIN
84;01;01288;PERON
84;01;01289;PERONNAS
84;01;01290;PEROUGES
84;01;01291;PERREX
84;01;01292;LE PETIT ABERGEMENT
84;01;01293;PEYRIAT
84;01;01294;PEYRIEU
84;01;01295;PEYZIEUX SUR SAONE
84;01;01296;PIRAJOUX
84;01;01297;PIZAY
84;01;01298;PLAGNE
84;01;01299;LE PLANTAY
84;01;01300;LE POIZAT
84;01;01301;POLLIAT
84;01;01302;POLLIEU
84;01;01303;PONCIN
84;01;01304;PONT D AIN
84;01;01305;PONT DE VAUX
84;01;01306;PONT DE VEYLE
84;01;01307;PORT
84;01;01308;POUGNY
84;01;01309;POUILLAT
84;01;01310;PREMEYZEL
84;01;01311;PREMILLIEU
84;01;01312;PRESSIAT
84;01;01313;PREVESSIN MOENS
84;01;01314;PRIAY
84;01;01315;PROULIEU
84;01;01316;PUGIEU
84;01;01317;RAMASSE
84;01;01318;RANCE
84;01;01319;RELEVANT
84;01;01320;REPLONGES
84;01;01321;REVONNAS
84;01;01322;REYRIEUX
84;01;01323;REYSSOUZE
84;01;01324;RIGNAT
84;01;01325;RIGNIEUX LE FRANC
84;01;01326;RILLIEUX
84;01;01327;ROMANECHE
84;01;01328;ROMANS
84;01;01329;ROSSILLON
84;01;01330;RUFFIEU
84;01;01331;ST ALBAN
84;01;01332;ST ANDRE DE BAGE
84;01;01333;ST ANDRE DE CORCY
84;01;01334;ST ANDRE D HUIRIAT
84;01;01335;ST ANDRE LE BOUCHOUX
84;01;01336;ST ANDRE SUR VIEUX JONC
84;01;01337;ST BENIGNE
84;01;01338;ST BENOIT
84;01;01339;ST BERNARD
84;01;01340;ST BOIS
84;01;01341;ST CHAMP
84;01;01342;STE CROIX
84;01;01343;ST CYR SUR MENTHON
84;01;01344;ST DENIS LES BOURG
84;01;01345;ST DENIS EN BUGEY
84;01;01346;ST DIDIER D AUSSIAT
84;01;01347;ST DIDIER DE FORMANS
84;01;01348;ST DIDIER SUR CHALARONNE
84;01;01349;ST ELOI
84;01;01350;ST ETIENNE DU BOIS
84;01;01351;ST ETIENNE SUR CHALARONNE
84;01;01352;ST ETIENNE SUR REYSSOUZE
84;01;01353;STE EUPHEMIE
84;01;01354;ST GENIS POUILLY
84;01;01355;ST GENIS SUR MENTHON
84;01;01356;ST GEORGES SUR RENON
