Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","328","Guyana","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2033.4","A","Chiffre officiel"
"PP","Prix à la Production","348","Hongrie","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","904.3","A","Chiffre officiel"
"PP","Prix à la Production","360","Indonésie","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2121.8","A","Chiffre officiel"
"PP","Prix à la Production","368","Iraq","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2186.4","A","Chiffre officiel"
"PP","Prix à la Production","352","Islande","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","4442.8","A","Chiffre officiel"
"PP","Prix à la Production","376","Israël","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1760.4","A","Chiffre officiel"
"PP","Prix à la Production","380","Italie","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1619","A","Chiffre officiel"
"PP","Prix à la Production","392","Japon","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2036.3","A","Chiffre officiel"
"PP","Prix à la Production","398","Kazakhstan","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1197.7","A","Chiffre officiel"
"PP","Prix à la Production","417","Kirghizistan","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2007.7","A","Chiffre officiel"
"PP","Prix à la Production","428","Lettonie","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1312.7","A","Chiffre officiel"
"PP","Prix à la Production","428","Lettonie","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1876.4","A","Chiffre officiel"
"PP","Prix à la Production","422","Liban","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1985.4","A","Chiffre officiel"
"PP","Prix à la Production","422","Liban","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2674","A","Chiffre officiel"
"PP","Prix à la Production","440","Lituanie","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","920.9","A","Chiffre officiel"
"PP","Prix à la Production","442","Luxembourg","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","4025.1","A","Chiffre officiel"
"PP","Prix à la Production","442","Luxembourg","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","5366","A","Chiffre officiel"
